,tweetid,favorite_count,retweet_count,lang,source,followers_count
178,856288084350160898,498,15,en,Twitter for iPhone,8784788
179,856282028240666624,26885,6041,en,Twitter for iPhone,8784788
180,855862651834028034,327,25,en,Twitter for iPhone,8784788
181,855860136149123072,4776,938,en,Twitter for iPhone,8784788
182,855857698524602368,11526,2032,en,Twitter for iPhone,8784788
183,855851453814013952,44410,17347,en,Twitter for iPhone,8784788
184,855818117272018944,25900,5224,en,Twitter for iPhone,8784788
185,855459453768019968,29000,7923,en,Twitter for iPhone,8784788
186,855245323840757760,0,5752,en,Twitter for iPhone,8784788
187,855138241867124737,0,43,en,Twitter for iPhone,8784788
188,854732716440526848,22135,5857,en,Twitter for iPhone,8784788
189,854482394044301312,28553,6645,en,Twitter for iPhone,8784788
190,854365224396361728,18410,4538,en,Twitter for iPhone,8784788
191,854120357044912130,31213,7230,en,Twitter for iPhone,8784788
192,854010172552949760,15834,3055,en,Twitter for iPhone,8784788
193,853760880890318849,27904,5567,en,Twitter for iPhone,8784788
194,853639147608842240,33886,9743,en,Twitter for iPhone,8784788
195,853299958564483072,15147,3458,en,Twitter for iPhone,8784788
196,852936405516943360,0,1939,en,Twitter for iPhone,8784788
197,852912242202992640,8836,1764,en,Twitter for iPhone,8784788
198,852672615818899456,14605,2102,en,Twitter for iPhone,8784788
199,852553447878664193,15966,3382,en,Twitter for iPhone,8784788
200,852311364735569921,32517,9693,en,Twitter for iPhone,8784788
201,852226086759018497,19599,6673,en,Twitter Web Client,8784788
202,852189679701164033,11246,1553,en,Twitter for iPhone,8784788
203,851861385021730816,0,19,en,Twitter for iPhone,8784788
204,851591660324737024,15977,3397,en,Twitter for iPhone,8784788
205,851464819735769094,23831,6894,en,Twitter for iPhone,8784788
206,851224888060895234,20335,5605,en,Twitter for iPhone,8784788
207,850753642995093505,30290,8930,en,Twitter for iPhone,8784788
208,850380195714523136,12888,2554,en,Twitter for iPhone,8784788
209,850333567704068097,3401,322,en,Twitter for iPhone,8784788
210,850145622816686080,16069,3713,en,Twitter for iPhone,8784788
211,850019790995546112,20088,4778,en,Twitter for iPhone,8784788
212,849776966551130114,29997,7443,en,Twitter for iPhone,8784788
213,849668094696017920,0,4862,en,Twitter for iPhone,8784788
214,849412302885593088,15645,3101,en,Twitter for iPhone,8784788
215,849336543269576704,11262,1866,en,Twitter for iPhone,8784788
216,849051919805034497,41767,8332,en,Twitter for iPhone,8784788
217,848690551926992896,24841,4245,en,Twitter for iPhone,8784788
218,848324959059550208,24386,4535,en,Twitter for iPhone,8784788
219,848213670039564288,8076,719,en,Twitter for iPhone,8784788
220,848212111729840128,16122,2989,en,Twitter for iPhone,8784788
221,847978865427394560,0,3208,en,Twitter for iPhone,8784788
222,847971574464610304,0,425,en,Twitter for iPhone,8784788
223,847962785489326080,23236,5000,en,Twitter for iPhone,8784788
224,847842811428974592,5381,1312,en,Twitter for iPhone,8784788
225,847617282490613760,6914,408,en,Twitter for iPhone,8784788
226,847606175596138505,18556,3380,en,Twitter for iPhone,8784788
227,847251039262605312,20282,4254,en,Twitter for iPhone,8784788
228,847157206088847362,19677,5763,en,Twitter for iPhone,8784788
229,847116187444137987,21249,3134,en,Twitter for iPhone,8784788
230,846874817362120707,19896,3879,en,Twitter for iPhone,8784788
231,846514051647705089,44192,11406,en,Twitter for iPhone,8784788
232,846505985330044928,13977,3032,en,Twitter for iPhone,8784788
233,846153765933735936,31320,8930,en,Twitter for iPhone,8784788
234,846139713627017216,30769,9893,en,Twitter for iPhone,8784788
235,846042936437604353,15838,2832,en,Twitter for iPhone,8784788
236,845812042753855489,28969,8594,en,Twitter for iPhone,8784788
237,845677943972139009,24980,4738,en,Twitter for iPhone,8784788
238,845397057150107648,7574,1783,en,Twitter for iPhone,8784788
239,845306882940190720,23146,5332,en,Twitter for iPhone,8784788
240,845098359547420673,0,7572,en,Twitter for iPhone,8784788
241,844979544864018432,13536,2528,en,Twitter for iPhone,8784788
242,844973813909606400,14968,3155,en,Twitter for iPhone,8784788
243,844580511645339650,16360,3097,en,Twitter for iPhone,8784788
244,844223788422217728,13560,2179,en,Twitter for iPhone,8784788
245,843981021012017153,15085,2919,en,Twitter for iPhone,8784788
246,843856843873095681,21336,4579,en,Twitter for iPhone,8784788
247,843604394117681152,16775,2723,en,Twitter for iPhone,8784788
248,843235543001513987,21395,5978,en,Twitter for iPhone,8784788
249,842846295480000512,15210,3614,en,Twitter for iPhone,8784788
250,842765311967449089,6694,1268,en,Twitter for iPhone,8784788
251,842535590457499648,18017,3480,en,Twitter for iPhone,8784788
252,842163532590374912,24335,5752,en,Twitter for iPhone,8784788
